Entry Time,Exit Time,Ticker,Signal,Option Type,Strike,Entry Price,Exit Price,PnL,Exit Reason,Lot Size
2023-01-13 12:45:00+05:30,2023-01-13 12:48:00+05:30,NIFTY19JAN2317900CE,Sell,CE,17900,132.7,144.5,-8850.00000000001,Stop-Loss,750
2023-01-13 12:50:00+05:30,2023-01-13 12:51:00+05:30,NIFTY19JAN2317900PE,Buy,PE,17900,88.0,85.2,2099.9999999999977,Take-Profit,750
2023-01-13 13:25:00+05:30,2023-01-13 13:27:00+05:30,NIFTY19JAN2317950CE,Sell,CE,17950,151.45,143.75,5774.999999999992,Take-Profit,750
2023-01-13 15:25:00+05:30,2023-01-13 15:26:00+05:30,NIFTY19JAN2317950PE,Buy,PE,17950,90.2,92.0,-1349.999999999998,Stop-Loss,750
2023-01-13 15:30:00+05:30,2023-01-16 09:20:00+05:30,NIFTY19JAN2317950CE,Sell,CE,17950,121.0,145.6,-18449.999999999996,Stop-Loss,750
2023-01-16 09:20:00+05:30,2023-01-16 09:21:00+05:30,NIFTY19JAN2318050PE,Buy,PE,18050,110.8,114.3,-2625.0,Stop-Loss,750
2023-01-16 09:40:00+05:30,2023-01-16 09:41:00+05:30,NIFTY19JAN2317950CE,Sell,CE,17950,128.35,119.0,7012.499999999995,Take-Profit,750
2023-01-16 10:10:00+05:30,2023-01-16 10:11:00+05:30,NIFTY19JAN2318000PE,Buy,PE,18000,98.0,105.0,-5250.0,Stop-Loss,750
2023-01-16 10:20:00+05:30,2023-01-16 10:26:00+05:30,NIFTY19JAN2317950CE,Sell,CE,17950,111.8,116.6,-3599.9999999999977,Stop-Loss,750
2023-01-16 10:45:00+05:30,2023-01-16 10:48:00+05:30,NIFTY19JAN2318000PE,Buy,PE,18000,105.55,108.35,-2099.9999999999977,Stop-Loss,750
2023-01-16 11:05:00+05:30,2023-01-16 11:07:00+05:30,NIFTY19JAN2317950CE,Sell,CE,17950,107.0,112.5,-4125.0,Stop-Loss,750
2023-01-16 11:55:00+05:30,2023-01-16 11:56:00+05:30,NIFTY19JAN2317950PE,Buy,PE,17950,106.1,108.8,-2025.000000000002,Stop-Loss,750
2023-01-16 12:00:00+05:30,2023-01-16 12:04:00+05:30,NIFTY19JAN2317950CE,Sell,CE,17950,89.95,85.85,3075.0000000000064,Take-Profit,750
2023-01-16 12:40:00+05:30,2023-01-16 12:42:00+05:30,NIFTY19JAN2317900PE,Buy,PE,17900,95.05,91.7,2512.499999999996,Take-Profit,750
2023-01-16 12:55:00+05:30,2023-01-16 12:56:00+05:30,NIFTY19JAN2317900CE,Sell,CE,17900,98.8,101.75,-2212.5000000000023,Stop-Loss,750
2023-01-16 13:05:00+05:30,2023-01-16 13:06:00+05:30,NIFTY19JAN2317900PE,Buy,PE,17900,97.25,94.15,2324.999999999996,Take-Profit,750
2023-01-16 13:50:00+05:30,2023-01-16 13:51:00+05:30,NIFTY19JAN2317900CE,Sell,CE,17900,98.55,93.4,3862.4999999999936,Take-Profit,750
2023-01-16 14:35:00+05:30,2023-01-16 14:36:00+05:30,NIFTY19JAN2317900PE,Buy,PE,17900,99.25,104.15,-3675.000000000004,Stop-Loss,750
2023-01-16 14:45:00+05:30,2023-01-16 14:47:00+05:30,NIFTY19JAN2317850CE,Sell,CE,17850,113.95,109.1,3637.5000000000064,Take-Profit,750
2023-01-16 15:00:00+05:30,2023-01-16 15:01:00+05:30,NIFTY19JAN2317850PE,Buy,PE,17850,71.25,66.45,3599.9999999999977,Take-Profit,750
2023-01-17 10:15:00+05:30,2023-01-17 10:16:00+05:30,NIFTY19JAN2318000CE,Sell,CE,18000,99.3,102.25,-2212.5000000000023,Stop-Loss,750
2023-01-17 11:35:00+05:30,2023-01-17 11:36:00+05:30,NIFTY19JAN2318000PE,Buy,PE,18000,73.6,74.95,-1012.5000000000064,Stop-Loss,750
2023-01-17 12:25:00+05:30,2023-01-17 12:26:00+05:30,NIFTY19JAN2318000CE,Sell,CE,18000,75.75,77.65,-1425.0000000000043,Stop-Loss,750
2023-01-17 13:35:00+05:30,2023-01-17 13:36:00+05:30,NIFTY19JAN2317950PE,Buy,PE,17950,60.65,62.05,-1049.9999999999989,Stop-Loss,750
2023-01-18 09:25:00+05:30,2023-01-18 09:27:00+05:30,NIFTY19JAN2318050CE,Sell,CE,18050,67.35,70.8,-2587.5000000000023,Stop-Loss,750
2023-01-18 09:45:00+05:30,2023-01-18 09:46:00+05:30,NIFTY19JAN2318100PE,Buy,PE,18100,68.9,65.9,2250.0,Take-Profit,750
2023-01-18 10:20:00+05:30,2023-01-18 10:21:00+05:30,NIFTY19JAN2318100CE,Sell,CE,18100,77.1,78.3,-900.0000000000022,Stop-Loss,750
2023-01-18 11:10:00+05:30,2023-01-18 11:14:00+05:30,NIFTY19JAN2318100PE,Buy,PE,18100,47.7,45.3,1800.0000000000043,Take-Profit,750
2023-01-18 11:55:00+05:30,2023-01-18 11:58:00+05:30,NIFTY19JAN2318150CE,Sell,CE,18150,72.15,69.75,1800.0000000000043,Take-Profit,750
2023-01-18 13:35:00+05:30,2023-01-18 13:36:00+05:30,NIFTY19JAN2318150PE,Buy,PE,18150,44.7,45.65,-712.4999999999968,Stop-Loss,750
2023-01-18 14:00:00+05:30,2023-01-18 14:02:00+05:30,NIFTY19JAN2318150CE,Sell,CE,18150,63.7,61.7,1500.0,Take-Profit,750
2023-01-18 14:30:00+05:30,2023-01-18 14:35:00+05:30,NIFTY19JAN2318150PE,Buy,PE,18150,41.85,42.7,-637.500000000001,Stop-Loss,750
2023-01-18 15:05:00+05:30,2023-01-18 15:07:00+05:30,NIFTY19JAN2318150CE,Sell,CE,18150,61.75,57.25,3375.0,Take-Profit,750
2023-01-18 15:30:00+05:30,2023-01-19 09:20:00+05:30,NIFTY19JAN2318150PE,Buy,PE,18150,40.9,62.9,-16500.0,Stop-Loss,750
2023-01-19 09:20:00+05:30,2023-01-19 09:21:00+05:30,NIFTY19JAN2318100CE,Sell,CE,18100,53.4,46.05,5512.500000000001,Take-Profit,750
2023-01-19 09:50:00+05:30,2023-01-19 09:56:00+05:30,NIFTY19JAN2318100PE,Buy,PE,18100,42.55,46.95,-3300.000000000004,Stop-Loss,750
2023-01-19 10:05:00+05:30,2023-01-19 10:06:00+05:30,NIFTY19JAN2318100CE,Sell,CE,18100,26.05,27.3,-937.5,Stop-Loss,750
2023-01-19 10:25:00+05:30,2023-01-19 10:26:00+05:30,NIFTY19JAN2318100PE,Buy,PE,18100,45.6,42.6,2250.0,Take-Profit,750
2023-01-19 11:30:00+05:30,2023-01-19 11:33:00+05:30,NIFTY19JAN2318100CE,Sell,CE,18100,44.7,41.15,2662.500000000003,Take-Profit,750
2023-01-19 11:45:00+05:30,2023-01-19 11:46:00+05:30,NIFTY19JAN2318100PE,Buy,PE,18100,16.4,15.25,862.499999999999,Take-Profit,750
2023-01-19 12:05:00+05:30,2023-01-19 12:06:00+05:30,NIFTY19JAN2318100CE,Sell,CE,18100,47.55,44.7,2137.499999999996,Take-Profit,750
2023-01-19 12:25:00+05:30,2023-01-19 12:26:00+05:30,NIFTY19JAN2318150PE,Buy,PE,18150,43.85,41.35,1875.0,Take-Profit,750
2023-01-19 12:45:00+05:30,2023-01-19 12:47:00+05:30,NIFTY19JAN2318150CE,Sell,CE,18150,16.8,14.25,1912.5000000000005,Take-Profit,750
2023-01-19 13:30:00+05:30,2023-01-19 13:31:00+05:30,NIFTY19JAN2318100PE,Buy,PE,18100,15.1,16.1,-750.0000000000014,Stop-Loss,750
2023-01-19 13:50:00+05:30,2023-01-19 13:51:00+05:30,NIFTY19JAN2318100CE,Sell,CE,18100,30.4,33.4,-2250.0,Stop-Loss,750
2023-01-19 14:10:00+05:30,2023-01-19 14:11:00+05:30,NIFTY19JAN2318150PE,Buy,PE,18150,37.5,38.6,-825.000000000001,Stop-Loss,750
2023-01-19 14:25:00+05:30,2023-01-19 14:26:00+05:30,NIFTY19JAN2318100CE,Sell,CE,18100,17.2,18.6,-1050.0000000000016,Stop-Loss,750
2023-01-19 14:55:00+05:30,2023-01-19 14:56:00+05:30,NIFTY19JAN2318100PE,Buy,PE,18100,12.25,13.8,-1162.5000000000005,Stop-Loss,750
2023-01-19 15:00:00+05:30,2023-01-19 15:01:00+05:30,NIFTY19JAN2318100CE,Sell,CE,18100,21.7,16.85,3637.499999999998,Take-Profit,750
2023-01-19 15:05:00+05:30,2023-01-19 15:06:00+05:30,NIFTY19JAN2318100PE,Buy,PE,18100,1.6,0.9,525.0,Take-Profit,750
2023-01-19 15:25:00+05:30,2023-01-19 15:26:00+05:30,NIFTY19JAN2318100CE,Sell,CE,18100,6.9,7.4,-375.0,Stop-Loss,750
2023-01-20 09:25:00+05:30,2023-01-20 09:26:00+05:30,NIFTY25JAN2318100PE,Buy,PE,18100,91.15,96.9,-4312.5,Stop-Loss,750
2023-01-20 09:30:00+05:30,2023-01-20 09:31:00+05:30,NIFTY25JAN2318100CE,Sell,CE,18100,96.6,99.6,-2250.0,Stop-Loss,750
2023-01-20 10:05:00+05:30,2023-01-20 10:07:00+05:30,NIFTY25JAN2318100PE,Buy,PE,18100,91.05,87.3,2812.5,Take-Profit,750
2023-01-20 11:00:00+05:30,2023-01-20 11:03:00+05:30,NIFTY25JAN2318100CE,Sell,CE,18100,118.0,112.5,4125.0,Take-Profit,750
2023-01-20 12:20:00+05:30,2023-01-20 12:21:00+05:30,NIFTY25JAN2318100PE,Buy,PE,18100,79.15,81.75,-1949.9999999999957,Stop-Loss,750
2023-01-20 12:45:00+05:30,2023-01-20 12:47:00+05:30,NIFTY25JAN2318100CE,Sell,CE,18100,95.75,97.4,-1237.5000000000043,Stop-Loss,750
2023-01-20 13:05:00+05:30,2023-01-20 13:09:00+05:30,NIFTY25JAN2318100PE,Buy,PE,18100,83.0,80.4,1949.9999999999957,Take-Profit,750
2023-01-20 13:35:00+05:30,2023-01-20 13:39:00+05:30,NIFTY25JAN2318100CE,Sell,CE,18100,98.25,100.95,-2025.000000000002,Stop-Loss,750
2023-01-20 14:20:00+05:30,2023-01-20 14:22:00+05:30,NIFTY25JAN2318050PE,Buy,PE,18050,83.15,80.4,2062.5,Take-Profit,750
2023-01-20 14:35:00+05:30,2023-01-20 14:37:00+05:30,NIFTY25JAN2318050CE,Sell,CE,18050,95.0,91.05,2962.5000000000023,Take-Profit,750
2023-01-20 14:50:00+05:30,2023-01-20 14:52:00+05:30,NIFTY25JAN2318050PE,Buy,PE,18050,84.85,80.6,3187.5,Take-Profit,750
2023-01-20 15:15:00+05:30,2023-01-20 15:16:00+05:30,NIFTY25JAN2318050CE,Sell,CE,18050,93.3,92.7,449.99999999999574,EOD Exit,750
2023-01-23 09:20:00+05:30,2023-01-23 09:21:00+05:30,NIFTY25JAN2318100PE,Buy,PE,18100,67.2,76.3,-6824.999999999995,Stop-Loss,750
2023-01-23 10:25:00+05:30,2023-01-23 10:27:00+05:30,NIFTY25JAN2318150CE,Sell,CE,18150,90.65,86.8,2887.5000000000064,Take-Profit,750
2023-01-23 11:05:00+05:30,2023-01-23 11:12:00+05:30,NIFTY25JAN2318150PE,Buy,PE,18150,58.85,61.5,-1987.4999999999989,Stop-Loss,750
2023-01-23 11:15:00+05:30,2023-01-23 11:16:00+05:30,NIFTY25JAN2318150CE,Sell,CE,18150,82.65,80.0,1987.5000000000043,Take-Profit,750
2023-01-23 11:50:00+05:30,2023-01-23 11:52:00+05:30,NIFTY25JAN2318150PE,Buy,PE,18150,61.1,62.25,-862.499999999999,Stop-Loss,750
2023-01-23 11:55:00+05:30,2023-01-23 11:56:00+05:30,NIFTY25JAN2318150CE,Sell,CE,18150,75.05,76.4,-1012.5000000000064,Stop-Loss,750
2023-01-23 13:20:00+05:30,2023-01-23 13:26:00+05:30,NIFTY25JAN2318100PE,Buy,PE,18100,58.85,54.6,3187.5,Take-Profit,750
2023-01-23 14:40:00+05:30,2023-01-23 14:41:00+05:30,NIFTY25JAN2318150CE,Sell,CE,18150,60.4,62.7,-1725.0000000000032,Stop-Loss,750
2023-01-23 15:10:00+05:30,2023-01-23 15:15:00+05:30,NIFTY25JAN2318100PE,Buy,PE,18100,42.1,42.35,-187.5,EOD Exit,750
2023-01-23 15:25:00+05:30,2023-01-23 15:26:00+05:30,NIFTY25JAN2318100CE,Sell,CE,18100,87.95,88.75,-599.9999999999978,EOD Exit,750
2023-01-24 09:20:00+05:30,2023-01-24 09:22:00+05:30,NIFTY25JAN2318150PE,Buy,PE,18150,36.2,36.95,-562.5,Stop-Loss,750
2023-01-24 09:55:00+05:30,2023-01-24 09:57:00+05:30,NIFTY25JAN2318200CE,Sell,CE,18200,44.25,42.4,1387.5000000000011,Take-Profit,750
2023-01-24 10:45:00+05:30,2023-01-24 10:46:00+05:30,NIFTY25JAN2318150PE,Buy,PE,18150,32.95,34.05,-824.9999999999957,Stop-Loss,750
2023-01-24 11:15:00+05:30,2023-01-24 11:16:00+05:30,NIFTY25JAN2318150CE,Sell,CE,18150,59.35,60.45,-825.000000000001,Stop-Loss,750
2023-01-24 12:20:00+05:30,2023-01-24 12:24:00+05:30,NIFTY25JAN2318150PE,Buy,PE,18150,49.45,50.45,-750.0,Stop-Loss,750
